GÖZDE PLASTİK TOP SANAYİ – MASTER ÜRÜN LİSTESİ;;;;;;;;;;;;;
;;;;;;;;;;;;;
SKU;Ürün Adı;Kategori;Alt Tip;Ağırlık (gr);Boyut / Beden;Materyal;Koli İçi;Min. Sipariş;Liste Fiyatı (₺);KDV (%);Fotoğraf Dosya;Aktif;Notlar
AK-MAT-001;Mat;AK - Aksesuar;Mat;;;;50;;;10;AK-MAT-001.jpg;Evet;
★ SP - Spor Ekipmanları;;;;;;;;;;;;;
SP-TEK-001;Tekmelik S Beden;SP - Spor Ekipmanları;Tekmelik;;S;;;;;10;SP-TEK-001.jpg;Evet;
SP-TEK-002;Tekmelik M Beden;SP - Spor Ekipmanları;Tekmelik;;M;;;;;10;SP-TEK-002.jpg;Evet;
SP-TEK-003;Tekmelik L Beden;SP - Spor Ekipmanları;Tekmelik;;L;;;;;10;SP-TEK-003.jpg;Evet;
SP-PAT-001;Paten S Beden;SP - Spor Ekipmanları;Paten;;31-34;;;;;10;SP-PAT-001.jpg;Evet;
SP-PAT-002;Paten M Beden;SP - Spor Ekipmanları;Paten;;35-38;;;;;10;SP-PAT-002.jpg;Evet;
SP-PAT-003;Paten L Beden;SP - Spor Ekipmanları;Paten;;39-42;;;;;10;SP-PAT-003.jpg;Evet;
SP-KAY-001;Kaykay Kanada Ağacı ABEC 7;SP - Spor Ekipmanları;Kaykay;;;;;;;10;SP-KAY-001.jpg;Evet;
SP-TEN-001;Kort Tenisi Raketi;SP - Spor Ekipmanları;Tenis;;;;;;;10;SP-TEN-001.jpg;Evet;
SP-HOL-001;Holihop Neon 60cm;SP - Spor Ekipmanları;Holihop;;60 cm;;;;;10;SP-HOL-001.jpg;Evet;
SP-HOL-002;Holihop Parlak Küçük;SP - Spor Ekipmanları;Holihop;;Küçük;;;;;10;SP-HOL-002.jpg;Evet;
SP-HOL-003;Holihop Parlak Orta;SP - Spor Ekipmanları;Holihop;;Orta;;;;;10;SP-HOL-003.jpg;Evet;
SP-HOL-004;Holihop Parlak Büyük;SP - Spor Ekipmanları;Holihop;;Büyük;;;;;10;SP-HOL-004.jpg;Evet;
